Timestamp,Sector,Gain_moy,Success_Rate,Trades,Seuil_Achat,Seuil_Vente,a1,a2,a3,a4,a5,a6,a7,a8
2025-07-26 11:02:36,Technology,0.5,60.0,10,3.89,-1.02,1.89,0.68,0.63,2.17,1.94,2.98,1.34,0.83
2025-07-26 11:13:42,Healthcare,0.41,75.0,4,2.36,-0.47,1.81,0.72,2.7,0.82,1.53,2.86,1.84,2.56
2025-07-26 11:46:37,Financial Services,1.79,100.0,4,4.23,-0.59,1.59,0.57,2.15,0.8,2.16,0.79,0.53,2.68
2025-07-26 12:39:15,Consumer Cyclical,0.77,70.0,10,2.14,-1.65,1.06,1.82,1.46,1.62,2.58,2.87,0.98,1.66
2025-07-26 12:57:41,Industrials,3.7,100.0,2,4.94,-1.86,1.32,0.69,1.08,0.8,2.8,0.87,0.57,1.43
2025-07-26 14:55:24,Energy,4.04,75.0,12,2.24,-0.43,2.09,1.99,0.77,1.51,2.51,2.81,2.84,2.79
2025-07-26 15:05:38,Basic Materials,0.39,66.6667,6,2.37,-0.51,2.47,2.84,1.64,0.81,0.72,2.51,1.87,0.91
2025-07-26 17:12:12,Real Estate,1.9,100.0,4,2.99,-1.11,0.85,1.21,0.81,0.75,2.46,2.39,2.7,2.53
2025-07-26 17:53:47,ℹ️Inconnu!!,2.02,83.,6,4.79,-0.41,1.85,0.57,1.09,0.54,1.07,1.11,0.94,2.79
2025-07-26 20:59:20,Financial Services,1.47,83.333,6,4.22,-2.65,2.3,0.7,0.7,0.6,2.2,0.9,1.1,1.2
2025-07-27 00:04:07,Industrials,3.27375,45.4545,11,4.52,-2.62,2.9,0.8,2.7,0.6,3.0,1.6,0.8,0.9
2025-07-27 06:30:24,ℹ️Inconnu!!,0.4125,100.0,5,3.65,-0.73,3.0,1.3,0.5,2.2,0.7,2.9,2.8,2.4
2025-07-27 19:19:54,Technology,0.5490,78.5717,14,2.47,-1.44,2.63,1.04,1.65,2.94,0.52,1.31,1.36,2.26
2025-07-27 19:55:44,Healthcare,0.39,41.666,12,4.85,-2.51,2.71,2.94,2.33,2.39,0.69,2.88,0.67,0.74
2025-07-27 22:56:40,Financial Services,3.0,77.77,9,5.63,-0.79,2.81,0.65,1.55,1.15,0.54,0.71,0.73,2.51
2025-07-28 04:01:15,Consumer Cyclical,1.998,54.5454,11,5.67,-0.24,1.82,0.69,2.43,2.92,0.89,1.2,1.35,2.72
2025-07-28 07:36:52,Industrials,8.2475,56.25,16,2.98,-1.03,1.12,0.56,0.51,2.0,0.51,0.57,1.7,2.84
2025-07-28 14:03:10,Energy,3.5725,73.33,15,3.59,-1.92,1.55,1.85,2.92,2.9,1.0,1.4,2.82,0.55
2025-07-28 20:38:32,Basic Materials,16.968,75.0,16,3.5,-2.54,0.84,1.06,1.19,2.33,0.53,0.54,1.13,2.12
2025-07-29 03:41:17,Communication Services,12.0933,76.19047619047619,21,3.09,-0.91,2.81,0.86,1.0,1.26,0.78,0.88,0.6,2.92
2025-07-29 08:32:43,Utilities,1.31666,100.0,2,3.73,-2.45,2.07,0.83,2.43,2.93,0.51,1.78,0.73,0.6
2025-07-29 20:04:17,Real Estate,1.9,100.0,4,4.54,-1.19,0.69,0.84,1.49,2.44,1.31,2.41,2.69,2.78
2025-07-29 23:03:05,ℹ️Inconnu!!,4.0225,53.84615384615385,13,2.67,-0.2,2.9,0.66,2.15,1.7,0.69,0.99,0.74,1.69
2025-07-29 23:18:31,Technology,0.410952380952381,66.6666,6,2.31,-2.82,1.62,0.55,1.93,1.74,1.29,2.07,1.73,1.7
2025-07-29 23:34:33,Healthcare,0.2291666,50.0,4,5.67,-1.58,1.9,0.79,2.71,0.57,0.69,2.87,2.12,2.74
2025-07-29 23:43:16,Financial Services,0.828,58.336,12,4.7,-2.65,2.79,2.87,1.7,2.93,2.38,1.86,2.17,0.51
2025-07-30 00:12:08,Consumer Cyclical,1.4636,43.75,16,5.75,-0.94,2.3,0.99,0.79,1.15,0.61,1.86,0.59,1.84
2025-07-30 00:34:36,Consumer Cyclical,4.65166,81.81818181818183,11,5.75,-0.94,2.04,1.04,0.78,2.42,0.92,2.47,0.63,1.5
2025-07-30 01:09:12,Industrials,5.465,77.77777777777779,9,2.4,-1.95,1.81,0.53,2.58,2.26,0.64,1.05,0.52,2.73
